Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Nov 19 2020,35,263
North Carolina,Nov 18 2020,39,262
North Carolina,Nov 17 2020,37,261
North Carolina,Nov 16 2020,36,260
North Carolina,Nov 15 2020,34,259
North Carolina,Nov 14 2020,40,258
North Carolina,Nov 13 2020,37,257
North Carolina,Nov 12 2020,41,256
North Carolina,Nov 11 2020,30,255
North Carolina,Nov 10 2020,34,254
North Carolina,Nov  9 2020,38,253
North Carolina,Nov  8 2020,32,252
North Carolina,Nov  7 2020,35,251
North Carolina,Nov  6 2020,33,250
North Carolina,Nov  5 2020,33,249
North Carolina,Nov  4 2020,31,248
North Carolina,Nov  3 2020,40,247
North Carolina,Nov  2 2020,42,246
North Carolina,Nov  1 2020,34,245
North Carolina,Oct 31 2020,34,244
North Carolina,Oct 30 2020,41,243
North Carolina,Oct 29 2020,50,242
North Carolina,Oct 28 2020,28,241
North Carolina,Oct 27 2020,30,240
North Carolina,Oct 26 2020,33,239
North Carolina,Oct 25 2020,37,238
North Carolina,Oct 24 2020,22,237
North Carolina,Oct 23 2020,28,236
North Carolina,Oct 22 2020,35,235
North Carolina,Oct 21 2020,33,234
North Carolina,Oct 20 2020,41,233
North Carolina,Oct 19 2020,18,232
North Carolina,Oct 18 2020,35,231
North Carolina,Oct 17 2020,29,230
North Carolina,Oct 16 2020,27,229
North Carolina,Oct 15 2020,23,228
North Carolina,Oct 14 2020,36,227
North Carolina,Oct 13 2020,23,226
North Carolina,Oct 12 2020,22,225
North Carolina,Oct 11 2020,28,224
North Carolina,Oct 10 2020,30,223
North Carolina,Oct  9 2020,26,222
North Carolina,Oct  8 2020,26,221
North Carolina,Oct  7 2020,26,220
North Carolina,Oct  6 2020,27,219
North Carolina,Oct  5 2020,28,218
North Carolina,Oct  4 2020,27,217
North Carolina,Oct  3 2020,19,216
North Carolina,Oct  2 2020,18,215
North Carolina,Oct  1 2020,20,214
North Carolina,Sep 30 2020,32,213
North Carolina,Sep 29 2020,32,212
North Carolina,Sep 28 2020,30,211
North Carolina,Sep 27 2020,26,210
North Carolina,Sep 26 2020,27,209
North Carolina,Sep 25 2020,30,208
North Carolina,Sep 24 2020,25,207
North Carolina,Sep 23 2020,29,206
North Carolina,Sep 22 2020,31,205
North Carolina,Sep 21 2020,28,204
North Carolina,Sep 20 2020,18,203
North Carolina,Sep 19 2020,26,202
North Carolina,Sep 18 2020,33,201
North Carolina,Sep 17 2020,37,200
North Carolina,Sep 16 2020,23,199
North Carolina,Sep 15 2020,40,198
North Carolina,Sep 14 2020,24,197
North Carolina,Sep 13 2020,21,196
North Carolina,Sep 12 2020,28,195
North Carolina,Sep 11 2020,35,194
North Carolina,Sep 10 2020,21,193
North Carolina,Sep  9 2020,25,192
North Carolina,Sep  8 2020,32,191
North Carolina,Sep  7 2020,27,190
North Carolina,Sep  6 2020,28,189
North Carolina,Sep  5 2020,23,188
North Carolina,Sep  4 2020,27,187
North Carolina,Sep  3 2020,36,186
North Carolina,Sep  2 2020,31,185
North Carolina,Sep  1 2020,27,184
North Carolina,Aug 31 2020,25,183
North Carolina,Aug 30 2020,39,182
North Carolina,Aug 29 2020,28,181
North Carolina,Aug 28 2020,25,180
North Carolina,Aug 27 2020,22,179
North Carolina,Aug 26 2020,30,178
North Carolina,Aug 25 2020,23,177
North Carolina,Aug 24 2020,28,176
North Carolina,Aug 23 2020,29,175
North Carolina,Aug 22 2020,27,174
North Carolina,Aug 21 2020,16,173
North Carolina,Aug 20 2020,26,172
North Carolina,Aug 19 2020,40,171
North Carolina,Aug 18 2020,32,170
North Carolina,Aug 17 2020,31,169
North Carolina,Aug 16 2020,27,168
North Carolina,Aug 15 2020,16,167
North Carolina,Aug 14 2020,24,166
North Carolina,Aug 13 2020,32,165
North Carolina,Aug 12 2020,29,164
North Carolina,Aug 11 2020,33,163
North Carolina,Aug 10 2020,35,162
North Carolina,Aug  9 2020,22,161
North Carolina,Aug  8 2020,40,160
North Carolina,Aug  7 2020,24,159
North Carolina,Aug  6 2020,25,158
North Carolina,Aug  5 2020,33,157
North Carolina,Aug  4 2020,24,156
North Carolina,Aug  3 2020,25,155
North Carolina,Aug  2 2020,41,154
North Carolina,Aug  1 2020,30,153
North Carolina,Jul 31 2020,32,152
North Carolina,Jul 30 2020,25,151
North Carolina,Jul 29 2020,25,150
North Carolina,Jul 28 2020,32,149
North Carolina,Jul 27 2020,21,148
North Carolina,Jul 26 2020,23,147
North Carolina,Jul 25 2020,22,146
North Carolina,Jul 24 2020,31,145
North Carolina,Jul 23 2020,27,144
North Carolina,Jul 22 2020,25,143
North Carolina,Jul 21 2020,31,142
